x,y,z
-10.989999999999998,-1.0142565829074375,1.1324173213894122
-10.415,-1.3437471362188629,1.647282639723071
-9.819999999999999,-1.5976231636816491,2.0326253140968924
-9.225,-1.825550040288171,2.2145771480612066
-8.645,-2.0415461471170038,2.197880928908914
-8.1,-2.0244139444721267,1.8552063099835856
-7.59,-2.0828113503091394,1.3558697873222678
-7.115,-2.0069106688218556,0.8676050182241132
-6.6850000000000005,-1.773078369002141,0.40455398433481715
-6.29,-1.5335382298642257,0.12308029780404812
-5.9350000000000005,-1.256236821368687,0.17221825964059176
-5.63,-0.9159489217441634,0.4825816400830019
-5.38,-0.6117901940881344,0.9441310503989925
-5.19,-0.34394659867596367,1.5320169001972277
-5.062,-0.1340354419093205,2.028388366466139
-4.995,-0.01759075934748215,2.339819496488081
-4.985,0.005332664468776247,2.3900935391009335
-5.033,-0.07164463801832302,2.1673768834704688
-5.135,-0.2538529879465203,1.7341425261163128
-5.3,-0.4972434290676388,1.1721638812159876
-5.5200000000000005,-0.7966744814164674,0.6991916906946839
-5.8020000000000005,-1.1037680927868265,0.31456599611413305
-6.13,-1.4100931742324325,0.12960400823712628
-6.505,-1.6456907860235597,0.2604741587615872
-6.925,-1.847332654746881,0.6153972391805218
-7.390000000000001,-2.061858872526018,1.145557242846163
-7.885,-2.1275605211175725,1.7066144555669198
-8.415,-1.9872308650074706,2.033379793018587
-8.969999999999999,-1.8986426769464397,2.23812575245797
-9.545,-1.7135751033195572,2.1711329235718235
-10.135,-1.4472234263230284,1.8903172642162314
-10.729999999999999,-1.121637138561198,1.4098152698986086
-11.33,-0.8548921461715385,0.8997860423522934
-11.92,-0.5527886458779087,0.4397552387331276
-12.51,-0.29295677912305984,0.14627686947438803
-13.08,-0.10611920681702453,0.13234123475636456
-13.629999999999999,-0.048000410391627966,0.37404038229923425
-14.16,-0.006523933509255068,0.8123131651666758
-14.639999999999999,-0.029151192233901113,1.2548836964147685
-15.09,-0.21480579926415547,1.792546257252306
-15.5,-0.43414296807126385,2.1341935861806114
-15.879999999999999,-0.7364331960185562,2.1865157515192326
-16.21,-1.0246353508293369,2.0021819353774974
-16.48,-1.3191460154692152,1.6202445624503565
-16.69,-1.5913912797944896,1.1151679267951242
-16.84,-1.8118789505288277,0.6212649513645863
-16.93,-1.9252059453368244,0.25128730306997654
-16.97,-2.007670895118916,0.11824532352839202
-16.95,-1.9793632553196518,0.19819288070270802
-16.87,-1.8667448848776815,0.5160931526980097
-16.74,-1.647398977935607,1.0130491694487416
-16.54,-1.425204751636399,1.4698440918477735
-16.28,-1.1038083032269852,1.9339067639541114
-15.969999999999999,-0.7894902078882043,2.1486034957593962
-15.61,-0.5566773135198001,2.149339476147054
-15.209999999999999,-0.28634942871159214,1.9265771042511124
-14.76,-0.0971594316207084,1.4743878352598194
-14.28,-0.02843435963798551,0.8416876597943209
-13.77,-0.006344248899889992,0.46463133574996285
-13.219999999999999,-0.04655652423898178,0.1337577311528394
-12.66,-0.2189663539415091,0.1480307887726421
-12.069999999999999,-0.48585369609873946,0.3122203699779785
-11.479999999999999,-0.7256516858433549,0.7670537926667479
-10.879999999999999,-1.0374078564508116,1.3095745258476315
-10.28,-1.3892623905164891,1.804027360241941
-9.694999999999999,-1.6514764447055779,2.1136367002635597
-9.114999999999998,-1.8874834714663278,2.274305042770836
-8.555,-2.0857582760712954,2.1749995774222968
-8.015,-2.125837416238169,1.759998080788422
-7.505,-2.082458441541911,1.2934050579886005
-7.035,-1.93051091560274,0.758130956168602
